"filename", "language", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\MinigamesSystem\MinigameSystem.cs", "C#", 18, 4, 3, 25
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Router\Router.cs", "C#", 1, 0, 0, 1
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Timer\MinigamesTimer.cs", "C#", 35, 0, 8, 43
"Total", "-", 54, 4, 11, 69
