"filename", "language", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\MinigamesSystem\MinigameSystem.cs", "C#", 22, 20, 9, 51
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Router\Router.cs", "C#", 11, 0, 3, 14
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\DrawLine.cs", "C#", 24, 0, 5, 29
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\WiresDragDrop.cs", "C#", 41, 2, 7, 50
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\WiresSlot.cs", "C#", 49, 5, 11, 65
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Scores\Scores.cs", "C#", 24, 0, 5, 29
"Total", "-", 171, 27, 40, 238
